Input.Video,Answer.1start,Answer.1end,Answer.1action,Answer.1justification,Answer.2start,Answer.2end,Answer.2action,Answer.2justification,Answer.3start,Answer.3end,Answer.3action,Answer.3justification,Answer.4start,Answer.4end,Answer.4action,Answer.4justification,Answer.5start,Answer.5end,Answer.5action,Answer.5justification,Answer.6start,Answer.6end,Answer.6action,Answer.6justification,Answer.7start,Answer.7end,Answer.7action,Answer.7justification,Answer.8start,Answer.8end,Answer.8action,Answer.8justification,Answer.9start,Answer.9end,Answer.9action,Answer.9justification,Answer.10start,Answer.10end,Answer.10action,Answer.10justification,Answer.11start,Answer.11end,Answer.11action,Answer.11justification,Answer.12start,Answer.12end,Answer.12action,Answer.12justification,Answer.13start,Answer.13end,Answer.13action,Answer.13justification,Answer.14start,Answer.14end,Answer.14action,Answer.14justification,Answer.15start,Answer.15end,Answer.15action,Answer.15justification
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d501fd-a9ffc960.mov,0,11,The car accelerates,because the light has turned green.,12,19,The car is moving at a steady speed,because traffic is clear.,20,22,The car slows slightly,because it's turning into the right lane.,23,36,The car stops,because it turns to the right.,37,40,The car accelerates,because traffic is clear.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01b0505f-5f564e84.mov,0,16,The car is stopped.,The car is at an intersection with a red light.,16,20,The car is accelerating through the intersection.,The light at the intersection has changed to green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d501fd-fd237e38.mov,0,20,The car accelerates slowly to a maintained speed,because the light has turned green and traffic is flowing smoothly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d54ae6-26a3446e.mov,0,6,The car is driving forward,as traffic flows freely.,7,9,The car merges into the lane to its left,to get around a slower car in front of it.,10,22,The car drives at a normal speed,as traffic moves freely.,23,25,The car slows and veers slightly right,due to a car in the neighboring lane entering the car's lane.,26,40,The car drives forward,as there are no nearby cars in its lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01b4e4b9-e21fe0a3.mov,0,12,The car is stopped,because the light is red.,13,18,The car is accelerating,as the light turned green.,19,27,The car is slowing,because traffic in front of it is stopped.,28,38,The car is driving forward slowly,due to slow traffic in front of it.,39,40,The car is merging into the left lane,to make a left turn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d54ae6-76749641.mov,0,3,The car slows to a stop,because the light is red.,4,8,The car is stopped,because the light is red.,9,12,The car inches forward,because the car in front moves forward.,13,40,The car is stopped,because the light is red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01b4e4b9-fc7a5264.mov,0,2,The car is driving slowly,because the car in front of it is slow.,3,6,The car swerves slightly left and back,as it tries to pass the car in front of it but is blocked by traffic.,7,10,The car is driving forward slowly,due to slow traffic in front of it.,11,15,The car merges into the lane to its left,to get around slow traffic in its current lane.,16,20,The car drives forward slowly,as traffic in front of it moves slowly.,21,34,The car stops and starts several times,due to traffic in front of it stopping and starting.,35,38,The car slows,to allow a car to merge into its lane.,39,40,The car drives forward slowly,due to heavy traffic.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d54ae6-bf7ed032.mov,0,3,The car is accelerating.,The traffic ahead of the car is moving forward,3,22,The car is moving down the road.,The car has no obstructions and is moving forward.,22,23,The car is abruptly slowing,The car is attempting to avoid hitting a pothole in the roadway at full speed.,23,27,The car is slowing to a stop,The light controlling the intersection is yellow.,27,40,The car is stopped.,The light is red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d981bc-01758867.mov,0,14,The car moves forward slowly,because there is heavy traffic.,15,21,The car slows to a stop,because traffic has stopped.,22,28,The car moves forward slowly,to carefully pass the car on the right.,29,40,The car accelerates to a constant speed,because traffic is moving smoothly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01c3c73e-4279ee42.mov,0,18,The car is driving steadily down the road,because traffic is moving at a steady pace.,19,24,The car slows down and pulls to the right,because it's getting ready to turn.,25,36,The car stops,because it's waiting for traffic to clear,37,39,The car accelerates,because it's turning to the left.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
